nombre,precio,url,tienda
ARROZ MOLTO LARGO FINO 5 KG,"$ 5.749,90",https://maxiconsumo.com/sucursal_capital/arroz-molto-largo-fino-5-kg-24034.html,Maxiconsumo
"ARROZ EL DIQUE ""0000"" 1 KG","$ 899,90",https://maxiconsumo.com/sucursal_capital/arroz-el-dique-0000-1-kg-17511.html,Maxiconsumo
ARROZ GALLO ORO 1 KG,"$ 2.699,90",https://maxiconsumo.com/sucursal_capital/arroz-gallo-oro-1-kg-207.html,Maxiconsumo
ARROZ MAROLIO LARGO FINO 5 KG,"$ 4.749,89",https://maxiconsumo.com/sucursal_capital/arroz-marolio-largo-fino-5-kg-24035.html,Maxiconsumo
ARROZ MAROLIO LARGO FINO 500 GR,"$ 499,90",https://maxiconsumo.com/sucursal_capital/arroz-marolio-largo-fino-500-gr-875.html,Maxiconsumo
ARROZ LUCCHETTI DOBLE 1 kg,"$ 2.799,89",https://maxiconsumo.com/sucursal_capital/arroz-lucchetti-doble-1-kg-6892.html,Maxiconsumo
ARROZ GALLO INTEGRAL 500 GR,"$ 1.099,89",https://maxiconsumo.com/sucursal_capital/arroz-gallo-integral-500-gr-208.html,Maxiconsumo
ARROZ LUCCHETTI PARBOLADO BOLSA 1 KG,"$ 1.799,90",https://maxiconsumo.com/sucursal_capital/arroz-lucchetti-parbolado-bolsa-1-kg-18160.html,Maxiconsumo
"ARROZ EL DIQUE ""0000"" 500 GR","$ 479,90",https://maxiconsumo.com/sucursal_capital/arroz-el-dique-0000-500-gr-17512.html,Maxiconsumo
ARROZ MOLTO LARGO FINO 500 GR,"$ 599,91",https://maxiconsumo.com/sucursal_capital/arroz-molto-largo-fino-500-gr-22074.html,Maxiconsumo
ARROZ ALA LARGO 500 GR,"$ 749,90",https://maxiconsumo.com/sucursal_capital/arroz-ala-largo-500-gr-229.html,Maxiconsumo
ARROZ MOLTO LARGO FINO 1 KG,"$ 1.149,90",https://maxiconsumo.com/sucursal_capital/arroz-molto-largo-fino-1-kg-22073.html,Maxiconsumo
Arroz largo fino Molinos Ala 1 kg.,"$ 1 156,35",https://www.carrefour.com.ar/arroz-largo-fino-molinos-ala-1-kg/p,Carrefour
Arroz largo fino 00000 Carrefour Classic en bolsa 1 kg.,"$ 1 390,00",https://www.carrefour.com.ar/arroz-largo-fino-00000-carrefour-classic-en-bolsa-1-kg-734800/p,Carrefour
Arroz parboil Gallo oro en bolsa 1 kg.,"$ 2 500,00",https://www.carrefour.com.ar/arroz-parboil-gallo-oro-en-bolsa-1-kg-718787/p,Carrefour
Arroz Molinos Ala parboil bolsa 1 kg.,"$ 1 361,75",https://www.carrefour.com.ar/arroz-molinos-ala-parboil-bolsa-1-kg/p,Carrefour
Arroz parboil Carrefour Classic en bolsa 1 kg.,"$ 1 790,00",https://www.carrefour.com.ar/arroz-parboil-carrefour-classic-en-bolsa-1-kg-734799/p,Carrefour
Arroz largo fino Crucero 00000 1 kg.,"$ 1 290,00",https://www.carrefour.com.ar/arroz-largo-fino-crucero-00000-1-kg-719197/p,Carrefour
