nombre,precio,url,tienda
ACEITE NATURA AEROSOL 120 CC,"$ 3.099,90",https://maxiconsumo.com/sucursal_capital/aceite-natura-aerosol-120-cc-187.html,Maxiconsumo
ACEITE NATURA OLIVA PET 500 CC,"$ 13.099,90",https://maxiconsumo.com/sucursal_capital/aceite-natura-oliva-pet-500-cc-25131.html,Maxiconsumo
ACEITE NATURA GIRASOL 3 LT,"$ 6.899,90",https://maxiconsumo.com/sucursal_capital/aceite-natura-girasol-3-lt-133.html,Maxiconsumo
"ACEITE NATURA GIRASOL PVC 1,5 LT","$ 3.479,90",https://maxiconsumo.com/sucursal_capital/aceite-natura-girasol-pvc-1-5-lt-124.html,Maxiconsumo
ACEITE NATURA OLIVA PET INTENSO 500 CC,"$ 13.099,90",https://maxiconsumo.com/sucursal_capital/aceite-natura-oliva-pet-intenso-500-cc-20541.html,Maxiconsumo
ACEITE NATURA OLIVA BOTELLA 500 CC,"$ 14.599,90",https://maxiconsumo.com/sucursal_capital/aceite-natura-oliva-botella-500-cc-22579.html,Maxiconsumo
ACEITE NATURA GIRASOL BID 5 LT,"$ 12.499,90",https://maxiconsumo.com/sucursal_capital/aceite-natura-girasol-bid-5-lt-39.html,Maxiconsumo
ACEITE NATURA GIRASOL 900 CC,"$ 2.449,90",https://maxiconsumo.com/sucursal_capital/aceite-natura-girasol-900-cc-119.html,Maxiconsumo
ACEITE NATURA AEROSOLOLIVA 120 CC,"$ 4.899,90",https://maxiconsumo.com/sucursal_capital/aceite-natura-aerosololiva-120-cc-22268.html,Maxiconsumo
ACEITE JOHNSON'S NORMAL 100 CC,"$ 5.149,90",https://maxiconsumo.com/sucursal_capital/aceite-johnson-s-normal-100-cc-43165.html,Maxiconsumo
ACEITE JOHNSON'S NORMAL 200 CC,"$ 6.499,90",https://maxiconsumo.com/sucursal_capital/aceite-johnson-s-normal-200-cc-43167.html,Maxiconsumo
ACEITE CAÑUELAS OLIVA INTENSO LATA 500 CC,"$ 14.999,90",https://maxiconsumo.com/sucursal_capital/aceite-ca-uelas-oliva-intenso-lata-500-cc-22150.html,Maxiconsumo
