nombre,precio,url,tienda
Aceite de oliva Carrefour Extra virgen 500 cc.,"$ 12 116,60",https://www.carrefour.com.ar/aceite-de-oliva-carrefour-extra-virgen-500-cc/p,Carrefour
Aceite de oliva Carrefour Classic virgen en botella 500 ml,"$ 9 190,80",https://www.carrefour.com.ar/aceite-de-oliva-carrefour-classic-virgen-en-botella-500-ml-441323/p,Carrefour
Aceite de oliva Carrefour Classic virgen 1 l.,"$ 17 850,60",https://www.carrefour.com.ar/aceite-de-oliva-carrefour-classic-virgen-1-l/p,Carrefour
Aceite de oliva Oliovita extra virgen 500 cc.,"$ 12 750,00",https://www.carrefour.com.ar/aceite-de-oliva-oliovita-extra-virgen-500-cc/p,Carrefour
Aceite de oliva Carrefour Classic virgen lata 1 l.,"$ 24 830,80",https://www.carrefour.com.ar/aceite-de-oliva-carrefour-classic-virgen-lata-1-l/p,Carrefour
Aceite de girasol Carrefour Classic alto omega pet 900 cc.,"$ 1 830,80",https://www.carrefour.com.ar/aceite-de-girasol-carrefour-classic-alto-omega-pet-900-cc-699030-699030/p,Carrefour
ACEITE NATURA AEROSOL 120 CC,"$ 3.099,90",https://maxiconsumo.com/sucursal_capital/aceite-natura-aerosol-120-cc-187.html,Maxiconsumo
ACEITE MAZOLA ROCIO VEGETAL MANTECA 120 CC,"$ 3.299,90",https://maxiconsumo.com/sucursal_capital/aceite-mazola-rocio-vegetal-manteca-120-cc-1319.html,Maxiconsumo
ACEITE NATURA OLIVA BOTELLA 500 CC,"$ 14.599,90",https://maxiconsumo.com/sucursal_capital/aceite-natura-oliva-botella-500-cc-22579.html,Maxiconsumo
ACEITE MAROLIO OLIVA PET 250 CC,"$ 4.499,89",https://maxiconsumo.com/sucursal_capital/aceite-marolio-oliva-pet-250-cc-23592.html,Maxiconsumo
ACEITE MOLTO MANTECA AEROSOL 120 CC,"$ 2.499,90",https://maxiconsumo.com/sucursal_capital/aceite-molto-manteca-aerosol-120-cc-23498.html,Maxiconsumo
ACEITE MOLTO OLIVA PET 500 CC,"$ 8.999,90",https://maxiconsumo.com/sucursal_capital/aceite-molto-oliva-pet-500-cc-24294.html,Maxiconsumo
ACEITE MOLTO OLIVA PET 250 CC,"$ 5.099,90",https://maxiconsumo.com/sucursal_capital/aceite-molto-oliva-pet-250-cc-24293.html,Maxiconsumo
ACEITE MOLTO OLIVA AEROSOL 120 CC,"$ 3.799,90",https://maxiconsumo.com/sucursal_capital/aceite-molto-oliva-aerosol-120-cc-25308.html,Maxiconsumo
ACEITE NATURA OLIVA PET 500 CC,"$ 13.099,90",https://maxiconsumo.com/sucursal_capital/aceite-natura-oliva-pet-500-cc-25131.html,Maxiconsumo
ACEITE FRANCESCA OLIVA LATA 500 CC,"$ 10.999,90",https://maxiconsumo.com/sucursal_capital/aceite-francesca-oliva-lata-500-cc-28435.html,Maxiconsumo
"ACEITE MAROLIO GIRASOL PVC 1,5 LT","$ 3.199,91",https://maxiconsumo.com/sucursal_capital/aceite-marolio-girasol-pvc-1-5-lt-589.html,Maxiconsumo
"ACEITE NATURA GIRASOL PVC 1,5 LT","$ 3.479,90",https://maxiconsumo.com/sucursal_capital/aceite-natura-girasol-pvc-1-5-lt-124.html,Maxiconsumo
