nombre,precio,url,tienda
Arroz largo fino Molinos Ala 1 kg.,"$ 1 156,35",https://www.carrefour.com.ar/arroz-largo-fino-molinos-ala-1-kg/p,Carrefour
Arroz largo fino 00000 Carrefour Classic en bolsa 1 kg.,"$ 1 390,00",https://www.carrefour.com.ar/arroz-largo-fino-00000-carrefour-classic-en-bolsa-1-kg-734800/p,Carrefour
Arroz parboil Gallo oro en bolsa 1 kg.,"$ 2 500,00",https://www.carrefour.com.ar/arroz-parboil-gallo-oro-en-bolsa-1-kg-718787/p,Carrefour
Arroz Molinos Ala parboil bolsa 1 kg.,"$ 1 361,75",https://www.carrefour.com.ar/arroz-molinos-ala-parboil-bolsa-1-kg/p,Carrefour
Arroz parboil Carrefour Classic en bolsa 1 kg.,"$ 1 790,00",https://www.carrefour.com.ar/arroz-parboil-carrefour-classic-en-bolsa-1-kg-734799/p,Carrefour
Arroz largo fino Crucero 00000 1 kg.,"$ 1 290,00",https://www.carrefour.com.ar/arroz-largo-fino-crucero-00000-1-kg-719197/p,Carrefour
ARROZ BEETHOVEN QUEBRADO 5 KG,"$ 4.599,90",https://maxiconsumo.com/sucursal_capital/arroz-beethoven-quebrado-5-kg-22348.html,Maxiconsumo
ARROZ LUCCHETTI LARGO FINO 1 KG,"$ 1.499,90",https://maxiconsumo.com/sucursal_capital/arroz-lucchetti-largo-fino-1-kg-13465.html,Maxiconsumo
ARROZ MAROLIO PARBOLIZADO 1 KG,"$ 1.749,90",https://maxiconsumo.com/sucursal_capital/arroz-marolio-parbolizado-1-kg-19001.html,Maxiconsumo
ARROZ GALLO INTEGRAL 500 GR,"$ 1.099,89",https://maxiconsumo.com/sucursal_capital/arroz-gallo-integral-500-gr-208.html,Maxiconsumo
ARROZ GALLO ORO 500 GR,"$ 979,89",https://maxiconsumo.com/sucursal_capital/arroz-gallo-oro-500-gr-241.html,Maxiconsumo
ARROZ MOLTO LARGO FINO 1 KG,"$ 1.149,90",https://maxiconsumo.com/sucursal_capital/arroz-molto-largo-fino-1-kg-22073.html,Maxiconsumo
"ARROZ EL DIQUE ""0000"" 1 KG","$ 899,90",https://maxiconsumo.com/sucursal_capital/arroz-el-dique-0000-1-kg-17511.html,Maxiconsumo
ARROZ LUCCHETTI LARGO FINO 500 GR,"$ 899,90",https://maxiconsumo.com/sucursal_capital/arroz-lucchetti-largo-fino-500-gr-21118.html,Maxiconsumo
ARROZ GALLO LARGO BOLSA 1 KG,"$ 1.999,90",https://maxiconsumo.com/sucursal_capital/arroz-gallo-largo-bolsa-1-kg-13275.html,Maxiconsumo
ARROZ MAROLIO DOBLE 1 KG,"$ 1.749,90",https://maxiconsumo.com/sucursal_capital/arroz-marolio-doble-1-kg-19003.html,Maxiconsumo
ARROZ GALLO PREPARADO RISOTTO 4 QUESOS 240 GR,"$ 2.299,90",https://maxiconsumo.com/sucursal_capital/arroz-gallo-preparado-risotto-4-quesos-240-gr-27488.html,Maxiconsumo
ARROZ LUCCHETTI PARBOLADO BOLSA 1 KG,"$ 1.799,90",https://maxiconsumo.com/sucursal_capital/arroz-lucchetti-parbolado-bolsa-1-kg-18160.html,Maxiconsumo
