nombre,precio,url,tienda
Harina de trigo Morixe 0000 1 kg.,"$ 1 120,00",https://www.carrefour.com.ar/harina-de-trigo-morixe-0000-1-kg/p,Carrefour
Harina de trigo Morixe leudante 1 kg.,"$ 1 359,00",https://www.carrefour.com.ar/harina-de-trigo-morixe-leudante-1-kg/p,Carrefour
Harina integral Pureza 1 kg.,"$ 1 539,00",https://www.carrefour.com.ar/harina-integral-pureza-1-kg/p,Carrefour
Harina Pureza especial para pizzas 1 kg.,"$ 1 820,00",https://www.carrefour.com.ar/harina-pureza-especial-para-pizzas-1-kg/p,Carrefour
HARINA MORIXE LEUDANTE 1 kg,"$ 999,90",https://maxiconsumo.com/sucursal_capital/harina-morixe-leudante-1-kg-44149.html,Maxiconsumo
"HARINA CANUELAS ""000"" 1 KG","$ 599,90",https://maxiconsumo.com/sucursal_capital/harina-canuelas-000-1-kg-15282.html,Maxiconsumo
HARINA MAIZ PRESTOPRONTA PARA AREPAS 1 kg,"$ 3.299,90",https://maxiconsumo.com/sucursal_capital/har-ma-prestopr-para-arepas-1-kg-27187.html,Maxiconsumo
HARINA DE MAIZ MAROLIO MAIZ 1 KG,"$ 899,90",https://maxiconsumo.com/sucursal_capital/harina-de-maiz-marolio-maiz-1-kg-24433.html,Maxiconsumo
HARINA DE MAIZ MAROLIO 500 GR,"$ 349,90",https://maxiconsumo.com/sucursal_capital/harina-de-maiz-marolio-500-gr-24377.html,Maxiconsumo
HARINA PUREZA MASA MADRE 1 KG,"$ 1.649,90",https://maxiconsumo.com/sucursal_capital/harina-pureza-masa-madre-1-kg-27677.html,Maxiconsumo
"HARINA MORIXE ""0000"" 1 kg","$ 879,90",https://maxiconsumo.com/sucursal_capital/harina-morixe-0000-1-kg-44148.html,Maxiconsumo
HARINA PUREZA LEUDANTE INTEGRAL 1 KG,"$ 1.649,90",https://maxiconsumo.com/sucursal_capital/harina-pureza-leudante-integral-1-kg-26693.html,Maxiconsumo
HARINA PUREZA PAN CASERO 1 KG,"$ 1.149,90",https://maxiconsumo.com/sucursal_capital/harina-pureza-pan-casero-1-kg-14306.html,Maxiconsumo
HARINA PUREZA PIZZAS CASERAS 1 KG,"$ 1.149,90",https://maxiconsumo.com/sucursal_capital/harina-pureza-pizzas-caseras-1-kg-20846.html,Maxiconsumo
HARINA MORIXE PIZZA 1 kg,"$ 849,90",https://maxiconsumo.com/sucursal_capital/harina-morixe-pizza-1-kg-27441.html,Maxiconsumo
HARINA PUREZA PIZZA INTEGRAL 1 KG,"$ 1.599,90",https://maxiconsumo.com/sucursal_capital/harina-pureza-pizza-integral-1-kg-26970.html,Maxiconsumo
