nombre,precio,url,tienda
Pan de mesa Veneziana blanco 600 g.,"$ 3 800,00",https://www.carrefour.com.ar/pan-de-mesa-veneziana-blanco-600-g/p,Carrefour
Pan de mesa Carrefour classic con salvado 620 g.,"$ 3 106,10",https://www.carrefour.com.ar/pan-de-mesa-carrefour-classic-con-salvado-620-g/p,Carrefour
Pan de salvado Lactal rodajas finas 560 g.,"$ 4 370,00",https://www.carrefour.com.ar/pan-de-salvado-lactal-rodajas-finas-560-g-716486/p,Carrefour
Pan integral fargo bolsa 400 grs,"$ 2 487,00",https://www.carrefour.com.ar/pan-integral-fargo-bolsa-400-grs-758013/p,Carrefour
Pan blanco Lactal bolsa 315 g.,"$ 2 625,00",https://www.carrefour.com.ar/pan-blanco-lactal-bolsa-315-g-716484/p,Carrefour
Pan de mesa Carrefour classic blanco lacteado 600 g.,"$ 3 501,00",https://www.carrefour.com.ar/pan-de-mesa-carrefour-classic-blanco-lacteado-600-g/p,Carrefour
PAN LACTAL PANCHOS 210 GR,"$ 1.779,00",https://maxiconsumo.com/sucursal_capital/pan-lactal-panchos-210-gr-20358.html,Maxiconsumo
PAN RALLADO PREFERIDO 500 GR,"$ 1.249,89",https://maxiconsumo.com/sucursal_capital/pan-rallado-preferido-500-gr-2549.html,Maxiconsumo
PAN RALLADO PREFERIDO 1 KG,"$ 2.199,90",https://maxiconsumo.com/sucursal_capital/pan-rallado-preferido-1-kg-1568.html,Maxiconsumo
PAN RALLADO MORIXE 1 kg,"$ 1.699,90",https://maxiconsumo.com/sucursal_capital/pan-rallado-morixe-1-kg-26119.html,Maxiconsumo
PAN FARGO DOBLE SALVADO 620 GR,"$ 5.468,99",https://maxiconsumo.com/sucursal_capital/pan-fargo-doble-salvado-620-gr-26191.html,Maxiconsumo
PAN MENDIA LACTEADO FAMILIAR 600 gr,"$ 2.499,00",https://maxiconsumo.com/sucursal_capital/pan-mendia-lacteado-familiar-600-gr-26078.html,Maxiconsumo
PAN BIMBO RAPIDITAS INTEGRALES 275 GR,"$ 2.899,00",https://maxiconsumo.com/sucursal_capital/pan-bimbo-rapiditas-integrales-275-gr-23653.html,Maxiconsumo
PAN MAMA COCINA BAGUETIN 6 UN,"$ 1.999,00",https://maxiconsumo.com/sucursal_capital/pan-mama-cocina-baguetin-6-un-28487.html,Maxiconsumo
PAN MAMA COCINA FLAUTITA 6 UN,"$ 2.299,00",https://maxiconsumo.com/sucursal_capital/pan-mama-cocina-flautita-6-un-28486.html,Maxiconsumo
PAN BIMBO HAMBURGESA 210 GR,"$ 1.799,90",https://maxiconsumo.com/sucursal_capital/pan-bimbo-hamburgesa-210-gr-16466.html,Maxiconsumo
PAN ARTESANO HAMBURGUESA 240 GR,"$ 2.999,00",https://maxiconsumo.com/sucursal_capital/pan-artesano-hamburguesa-240-gr-23652.html,Maxiconsumo
PANAL HUGGIES CLASSIC JUMBO XXXG 28 UN,"$ 7.199,90",https://maxiconsumo.com/sucursal_capital/panal-huggies-classic-jumbo-xxxg-28-un-28488.html,Maxiconsumo
