nombre,precio,url,tienda
Vino tinto Malbec Alma Mora 750 ml,"$ 4 599,33",https://www.carrefour.com.ar/vino-tinto-malbec-alma-mora-750-cc/p,Carrefour
Vino tinto Malbec Elementos 750 ml,"$ 4 159,33",https://www.carrefour.com.ar/vino-tinto-malbec-elementos-750-cc/p,Carrefour
Vino tinto Malbec Cordero con piel de Lobo 750 ml,"$ 3 932,67",https://www.carrefour.com.ar/vino-tinto-cordero-con-piel-de-lobo-malbec-750-cc-730738/p,Carrefour
Vino tinto Malbec La Fusta 750 ml,"$ 2 303,33",https://www.carrefour.com.ar/vino-tinto-malbec-la-fusta-en-botella-750-cc-743983/p,Carrefour
Vino tinto Malbec Portillo 750 ml,"$ 4 266,67",https://www.carrefour.com.ar/vino-tinto-malbec-portillo-en-botella-750-cc-718554/p,Carrefour
Vino blanco dulce Blend V Canciller 750 ml,"$ 1 803,33",https://www.carrefour.com.ar/vino-blanco-blend-fuzion-750-ml-668802/p,Carrefour
VINO RESERO 1000 CC,"$ 1.899,89",https://maxiconsumo.com/sucursal_capital/vino-resero-1000-cc-23963.html,Maxiconsumo
VINO FAMILIA GASCON RESERVA MALBEC 750 CC,"$ 5.199,89",https://maxiconsumo.com/sucursal_capital/vino-familia-gascon-reserva-malbec-750-cc-22608.html,Maxiconsumo
VINO SAINT FELICIEN MALBEC 750 CC,"$ 8.599,89",https://maxiconsumo.com/sucursal_capital/vino-saint-felicien-malbec-750-cc-21358.html,Maxiconsumo
VINO TRAPICHE RESERVA MALBEC 750 cc,"$ 6.799,90",https://maxiconsumo.com/sucursal_capital/vino-trapiche-reserva-malbec-750-cc-25460.html,Maxiconsumo
VINO NICASIA CABERNET FRANC 750 cc,"$ 7.499,90",https://maxiconsumo.com/sucursal_capital/vino-nicasia-cabernet-franc-750-cc-25224.html,Maxiconsumo
VINO NORTON MALBEC DOC 750 CC,"$ 6.799,90",https://maxiconsumo.com/sucursal_capital/vino-norton-malbec-doc-750-cc-2738.html,Maxiconsumo
VINO NORTON MALBEC RESERVA 750 CC,"$ 6.599,90",https://maxiconsumo.com/sucursal_capital/vino-norton-malbec-reserva-750-cc-26508.html,Maxiconsumo
VINO EL ESTECO MALBEC 750 cc,"$ 12.499,89",https://maxiconsumo.com/sucursal_capital/vino-el-esteco-malbec-750-cc-27084.html,Maxiconsumo
VINO TERRAZAS CABERNET SAUVIGNON 750 CC,"$ 7.999,89",https://maxiconsumo.com/sucursal_capital/vino-terrazas-cabernet-sauvignon-750-cc-9458.html,Maxiconsumo
VINO CIRCUS ROBLE CABERNET SAUVIGNON 750 CC,"$ 3.299,90",https://maxiconsumo.com/sucursal_capital/vino-circus-roble-cabernet-sauvignon-750-cc-18666.html,Maxiconsumo
VINO SANTA JULIA MALBEC RESERVA 750 CC,"$ 5.599,89",https://maxiconsumo.com/sucursal_capital/vino-santa-julia-malbec-reserva-750-cc-18334.html,Maxiconsumo
VINO NORTON COSECHA TARDIA ROSADO 750 CC,"$ 2.999,89",https://maxiconsumo.com/sucursal_capital/vino-norton-cosecha-tardia-rosado-750-cc-17079.html,Maxiconsumo
